aa	af:Afar	af-NA:Afar	am:አፋርኛ	ar:الأفارية	ar-AE:الأفارية	ar-BH:الأفارية	ar-DJ:الأفارية	ar-DZ:الأفارية	ar-EG:الأفارية	ar-EH:الأفارية	ar-ER:الأفارية	ar-IL:الأفارية	ar-IQ:الأفارية	ar-JO:الأفارية	ar-KM:الأفارية	ar-KW:الأفارية	ar-LB:الأفارية	ar-LY:الأفارية	ar-MA:الأفارية	ar-MR:الأفارية
kcg	af:Tyap	af-NA:Tyap	am:ታያፕ	ar:التايابية	ar-AE:التايابية	ar-BH:التايابية	ar-DJ:التايابية	ar-DZ:التايابية	ar-EG:التايابية	ar-EH:التايابية	ar-ER:التايابية	ar-IL:التايابية	ar-IQ:التايابية	ar-JO:التايابية	ar-KM:التايابية	ar-KW:التايابية	ar-LB:التايابية	ar-LY:التايابية	ar-MA:التايابية	ar-MR:التايابية
kde	af:Makonde	af-NA:Makonde	am:ማኮንዴ	ar:ماكونده	ar-AE:ماكونده	ar-BH:ماكونده	ar-DJ:ماكونده	ar-DZ:ماكونده	ar-EG:ماكونده	ar-EH:ماكونده	ar-ER:ماكونده	ar-IL:ماكونده	ar-IQ:ماكونده	ar-JO:ماكونده	ar-KM:ماكونده	ar-KW:ماكونده	ar-LB:ماكونده	ar-LY:ماكونده	ar-MA:ماكونده	ar-MR:ماكونده
kea	af:Kabuverdianu	af-NA:Kabuverdianu	ak:Kabuvadianu	am:ካቡቨርዲያኑ	ar:كابوفيرديانو	ar-AE:كابوفيرديانو	ar-BH:كابوفيرديانو	ar-DJ:كابوفيرديانو	ar-DZ:كابوفيرديانو	ar-EG:كابوفيرديانو	ar-EH:كابوفيرديانو	ar-ER:كابوفيرديانو	ar-IL:كابوفيرديانو	ar-IQ:كابوفيرديانو	ar-JO:كابوفيرديانو	ar-KM:كابوفيرديانو	ar-KW:كابوفيرديانو	ar-LB:كابوفيرديانو	ar-LY:كابوفيرديانو	ar-MA:كابوفيرديانو
kek	ba:кекчи	blo:Kekshii kagɩja	cv:кекчи чӗлхи	en:Qʼeqchiʼ	en-001:Qʼeqchiʼ	en-150:Qʼeqchiʼ	en-AE:Qʼeqchiʼ	en-AG:Qʼeqchiʼ	en-AI:Qʼeqchiʼ	en-AS:Qʼeqchiʼ	en-AT:Qʼeqchiʼ	en-AU:Qʼeqchiʼ	en-BB:Qʼeqchiʼ	en-BE:Qʼeqchiʼ	en-BI:Qʼeqchiʼ	en-BM:Qʼeqchiʼ	en-BS:Qʼeqchiʼ	en-BW:Qʼeqchiʼ	en-BZ:Qʼeqchiʼ	en-CA:Qʼeqchiʼ
ken	ast:kenyang	ba:кеньянг	bal-Latn:Kinyang	blo:Keniyaa kagɩja	ca:kenyang	ca-AD:kenyang	ca-ES-valencia:kenyang	ca-FR:kenyang	ca-IT:kenyang	cs:kenyang	cv:ньянг чӗлхи	de:Kenyang	de-AT:Kenyang	de-BE:Kenyang	de-CH:Kenyang	de-IT:Kenyang	de-LI:Kenyang	de-LU:Kenyang	en:Kenyang	en-001:Kenyang
kfo	af:Koro	af-NA:Koro	am:ኮሮ	ar:الكورو	ar-AE:الكورو	ar-BH:الكورو	ar-DJ:الكورو	ar-DZ:الكورو	ar-EG:الكورو	ar-EH:الكورو	ar-ER:الكورو	ar-IL:الكورو	ar-IQ:الكورو	ar-JO:الكورو	ar-KM:الكورو	ar-KW:الكورو	ar-LB:الكورو	ar-LY:الكورو	ar-MA:الكورو	ar-MR:الكورو
kg	af:Kongolees	af-NA:Kongolees	am:ኮንጎኛ	ar:الكونغو	ar-AE:الكونغو	ar-BH:الكونغو	ar-DJ:الكونغو	ar-DZ:الكونغو	ar-EG:الكونغو	ar-EH:الكونغو	ar-ER:الكونغو	ar-IL:الكونغو	ar-IQ:الكونغو	ar-JO:الكونغو	ar-KM:الكونغو	ar-KW:الكونغو	ar-LB:الكونغو	ar-LY:الكونغو	ar-MA:الكونغو	ar-MR:الكونغو
kgp	af:Kaingang	af-NA:Kaingang	ak:Kaingang	am:ካይንጋንግ	ar:الكاينغانغ	ar-AE:الكاينغانغ	ar-BH:الكاينغانغ	ar-DJ:الكاينغانغ	ar-DZ:الكاينغانغ	ar-EG:الكاينغانغ	ar-EH:الكاينغانغ	ar-ER:الكاينغانغ	ar-IL:الكاينغانغ	ar-IQ:الكاينغانغ	ar-JO:الكاينغانغ	ar-KM:الكاينغانغ	ar-KW:الكاينغانغ	ar-LB:الكاينغانغ	ar-LY:الكاينغانغ	ar-MA:الكاينغانغ
kha	af:Khasi	af-NA:Khasi	am:ካሲ	ar:الكازية	ar-AE:الكازية	ar-BH:الكازية	ar-DJ:الكازية	ar-DZ:الكازية	ar-EG:الكازية	ar-EH:الكازية	ar-ER:الكازية	ar-IL:الكازية	ar-IQ:الكازية	ar-JO:الكازية	ar-KM:الكازية	ar-KW:الكازية	ar-LB:الكازية	ar-LY:الكازية	ar-MA:الكازية	ar-MR:الكازية
kho	ar:الخوتانيز	ar-AE:الخوتانيز	ar-BH:الخوتانيز	ar-DJ:الخوتانيز	ar-DZ:الخوتانيز	ar-EG:الخوتانيز	ar-EH:الخوتانيز	ar-ER:الخوتانيز	ar-IL:الخوتانيز	ar-IQ:الخوتانيز	ar-JO:الخوتانيز	ar-KM:الخوتانيز	ar-KW:الخوتانيز	ar-LB:الخوتانيز	ar-LY:الخوتانيز	ar-MA:الخوتانيز	ar-MR:الخوتانيز	ar-OM:الخوتانيز	ar-PS:الخوتانيز	ar-QA:الخوتانيز
khq	af:Koyra Chiini	af-NA:Koyra Chiini	am:ኮይራ ቺኒ	ar:كويرا تشيني	ar-AE:كويرا تشيني	ar-BH:كويرا تشيني	ar-DJ:كويرا تشيني	ar-DZ:كويرا تشيني	ar-EG:كويرا تشيني	ar-EH:كويرا تشيني	ar-ER:كويرا تشيني	ar-IL:كويرا تشيني	ar-IQ:كويرا تشيني	ar-JO:كويرا تشيني	ar-KM:كويرا تشيني	ar-KW:كويرا تشيني	ar-LB:كويرا تشيني	ar-LY:كويرا تشيني	ar-MA:كويرا تشيني	ar-MR:كويرا تشيني
khw	ast:khowar	cs:chovarština	cy:Chowareg	de:Khowar	de-AT:Khowar	de-BE:Khowar	de-CH:Khowar	de-IT:Khowar	de-LI:Khowar	de-LU:Khowar	en:Khowar	en-001:Khowar	en-150:Khowar	en-AE:Khowar	en-AG:Khowar	en-AI:Khowar	en-AS:Khowar	en-AT:Khowar	en-AU:Khowar	en-BB:Khowar
ki	af:Kikuyu	af-NA:Kikuyu	am:ኪኩዩ	ar:الكيكيو	ar-AE:الكيكيو	ar-BH:الكيكيو	ar-DJ:الكيكيو	ar-DZ:الكيكيو	ar-EG:الكيكيو	ar-EH:الكيكيو	ar-ER:الكيكيو	ar-IL:الكيكيو	ar-IQ:الكيكيو	ar-JO:الكيكيو	ar-KM:الكيكيو	ar-KW:الكيكيو	ar-LB:الكيكيو	ar-LY:الكيكيو	ar-MA:الكيكيو	ar-MR:الكيكيو
kiu	ast:kirmanjki	cs:zazakština	de:Kirmanjki	de-AT:Kirmanjki	de-BE:Kirmanjki	de-CH:Kirmanjki	de-IT:Kirmanjki	de-LI:Kirmanjki	de-LU:Kirmanjki	en:Kirmanjki	en-001:Kirmanjki	en-150:Kirmanjki	en-AE:Kirmanjki	en-AG:Kirmanjki	en-AI:Kirmanjki	en-AS:Kirmanjki	en-AT:Kirmanjki	en-AU:Kirmanjki	en-BB:Kirmanjki	en-BE:Kirmanjki
kj	af:Kuanyama	af-NA:Kuanyama	am:ኩዋንያማ	ar:كوانياما	ar-AE:كوانياما	ar-BH:كوانياما	ar-DJ:كوانياما	ar-DZ:كوانياما	ar-EG:كوانياما	ar-EH:كوانياما	ar-ER:كوانياما	ar-IL:كوانياما	ar-IQ:كوانياما	ar-JO:كوانياما	ar-KM:كوانياما	ar-KW:كوانياما	ar-LB:كوانياما	ar-LY:كوانياما	ar-MA:كوانياما	ar-MR:كوانياما
kk	af:Kazaks	af-NA:Kazaks	ak:kasaki kasa	am:ካዛክኛ	ar:الكازاخستانية	ar-AE:الكازاخستانية	ar-BH:الكازاخستانية	ar-DJ:الكازاخستانية	ar-DZ:الكازاخستانية	ar-EG:الكازاخستانية	ar-EH:الكازاخستانية	ar-ER:الكازاخستانية	ar-IL:الكازاخستانية	ar-IQ:الكازاخستانية	ar-JO:الكازاخستانية	ar-KM:الكازاخستانية	ar-KW:الكازاخستانية	ar-LB:الكازاخستانية	ar-LY:الكازاخستانية	ar-MA:الكازاخستانية
kk-Arab	kk-Arab:قازاق ءتىلى (توتە)
kkj	af:Kako	af-NA:Kako	am:ካኮ	ar:لغة الكاكو	ar-AE:لغة الكاكو	ar-BH:لغة الكاكو	ar-DJ:لغة الكاكو	ar-DZ:لغة الكاكو	ar-EG:لغة الكاكو	ar-EH:لغة الكاكو	ar-ER:لغة الكاكو	ar-IL:لغة الكاكو	ar-IQ:لغة الكاكو	ar-JO:لغة الكاكو	ar-KM:لغة الكاكو	ar-KW:لغة الكاكو	ar-LB:لغة الكاكو	ar-LY:لغة الكاكو	ar-MA:لغة الكاكو	ar-MR:لغة الكاكو
kl	af:Kalaallisut	af-NA:Kalaallisut	am:ካላሊሱት	ar:الكالاليست	ar-AE:الكالاليست	ar-BH:الكالاليست	ar-DJ:الكالاليست	ar-DZ:الكالاليست	ar-EG:الكالاليست	ar-EH:الكالاليست	ar-ER:الكالاليست	ar-IL:الكالاليست	ar-IQ:الكالاليست	ar-JO:الكالاليست	ar-KM:الكالاليست	ar-KW:الكالاليست	ar-LB:الكالاليست	ar-LY:الكالاليست	ar-MA:الكالاليست	ar-MR:الكالاليست
kln	af:Kalenjin	af-NA:Kalenjin	am:ካለንጂን	ar:كالينجين	ar-AE:كالينجين	ar-BH:كالينجين	ar-DJ:كالينجين	ar-DZ:كالينجين	ar-EG:كالينجين	ar-EH:كالينجين	ar-ER:كالينجين	ar-IL:كالينجين	ar-IQ:كالينجين	ar-JO:كالينجين	ar-KM:كالينجين	ar-KW:كالينجين	ar-LB:كالينجين	ar-LY:كالينجين	ar-MA:كالينجين	ar-MR:كالينجين
km	af:Khmer	af-NA:Khmer	agq:Kɨmɛ̀	ak:Kambodia kasa	am:ክመር	ar:الخميرية	ar-AE:الخميرية	ar-BH:الخميرية	ar-DJ:الخميرية	ar-DZ:الخميرية	ar-EG:الخميرية	ar-EH:الخميرية	ar-ER:الخميرية	ar-IL:الخميرية	ar-IQ:الخميرية	ar-JO:الخميرية	ar-KM:الخميرية	ar-KW:الخميرية	ar-LB:الخميرية	ar-LY:الخميرية
kmb	af:Kimbundu	af-NA:Kimbundu	am:ኪምቡንዱ	ar:الكيمبندو	ar-AE:الكيمبندو	ar-BH:الكيمبندو	ar-DJ:الكيمبندو	ar-DZ:الكيمبندو	ar-EG:الكيمبندو	ar-EH:الكيمبندو	ar-ER:الكيمبندو	ar-IL:الكيمبندو	ar-IQ:الكيمبندو	ar-JO:الكيمبندو	ar-KM:الكيمبندو	ar-KW:الكيمبندو	ar-LB:الكيمبندو	ar-LY:الكيمبندو	ar-MA:الكيمبندو	ar-MR:الكيمبندو
kn	af:Kannada	af-NA:Kannada	ak:Kanada	am:ካናዳ	ar:الكانادا	ar-AE:الكانادا	ar-BH:الكانادا	ar-DJ:الكانادا	ar-DZ:الكانادا	ar-EG:الكانادا	ar-EH:الكانادا	ar-ER:الكانادا	ar-IL:الكانادا	ar-IQ:الكانادا	ar-JO:الكانادا	ar-KM:الكانادا	ar-KW:الكانادا	ar-LB:الكانادا	ar-LY:الكانادا	ar-MA:الكانادا
ko	af:Koreaans	af-NA:Koreaans	agq:kùulîa	ak:Korea kasa	am:ኮሪያኛ	ar:الكورية	ar-AE:الكورية	ar-BH:الكورية	ar-DJ:الكورية	ar-DZ:الكورية	ar-EG:الكورية	ar-EH:الكورية	ar-ER:الكورية	ar-IL:الكورية	ar-IQ:الكورية	ar-JO:الكورية	ar-KM:الكورية	ar-KW:الكورية	ar-LB:الكورية	ar-LY:الكورية
koi	af:Komi-Permyaks	af-NA:Komi-Permyaks	am:ኮሚ ፔርምያክ	ar:كومي-بيرماياك	ar-AE:كومي-بيرماياك	ar-BH:كومي-بيرماياك	ar-DJ:كومي-بيرماياك	ar-DZ:كومي-بيرماياك	ar-EG:كومي-بيرماياك	ar-EH:كومي-بيرماياك	ar-ER:كومي-بيرماياك	ar-IL:كومي-بيرماياك	ar-IQ:كومي-بيرماياك	ar-JO:كومي-بيرماياك	ar-KM:كومي-بيرماياك	ar-KW:كومي-بيرماياك	ar-LB:كومي-بيرماياك	ar-LY:كومي-بيرماياك	ar-MA:كومي-بيرماياك	ar-MR:كومي-بيرماياك
kok	af:Konkani	af-NA:Konkani	ak:Konkani kasa	am:ኮንካኒ	ar:الكونكانية	ar-AE:الكونكانية	ar-BH:الكونكانية	ar-DJ:الكونكانية	ar-DZ:الكونكانية	ar-EG:الكونكانية	ar-EH:الكونكانية	ar-ER:الكونكانية	ar-IL:الكونكانية	ar-IQ:الكونكانية	ar-JO:الكونكانية	ar-KM:الكونكانية	ar-KW:الكونكانية	ar-LB:الكونكانية	ar-LY:الكونكانية	ar-MA:الكونكانية
kos	ar:الكوسراين	ar-AE:الكوسراين	ar-BH:الكوسراين	ar-DJ:الكوسراين	ar-DZ:الكوسراين	ar-EG:الكوسراين	ar-EH:الكوسراين	ar-ER:الكوسراين	ar-IL:الكوسراين	ar-IQ:الكوسراين	ar-JO:الكوسراين	ar-KM:الكوسراين	ar-KW:الكوسراين	ar-LB:الكوسراين	ar-LY:الكوسراين	ar-MA:الكوسراين	ar-MR:الكوسراين	ar-OM:الكوسراين	ar-PS:الكوسراين	ar-QA:الكوسراين
kpe	af:Kpellees	af-NA:Kpellees	am:ክፔሌ	ar:الكبيل	ar-AE:الكبيل	ar-BH:الكبيل	ar-DJ:الكبيل	ar-DZ:الكبيل	ar-EG:الكبيل	ar-EH:الكبيل	ar-ER:الكبيل	ar-IL:الكبيل	ar-IQ:الكبيل	ar-JO:الكبيل	ar-KM:الكبيل	ar-KW:الكبيل	ar-LB:الكبيل	ar-LY:الكبيل	ar-MA:الكبيل	ar-MR:الكبيل
kr	af:Kanuri	af-NA:Kanuri	am:ካኑሪ	ar:الكانوري	ar-AE:الكانوري	ar-BH:الكانوري	ar-DJ:الكانوري	ar-DZ:الكانوري	ar-EG:الكانوري	ar-EH:الكانوري	ar-ER:الكانوري	ar-IL:الكانوري	ar-IQ:الكانوري	ar-JO:الكانوري	ar-KM:الكانوري	ar-KW:الكانوري	ar-LB:الكانوري	ar-LY:الكانوري	ar-MA:الكانوري	ar-MR:الكانوري
krc	af:Karachay-Balkar	af-NA:Karachay-Balkar	am:ካራቻይ-ባልካር	ar:الكاراتشاي-بالكار	ar-AE:الكاراتشاي-بالكار	ar-BH:الكاراتشاي-بالكار	ar-DJ:الكاراتشاي-بالكار	ar-DZ:الكاراتشاي-بالكار	ar-EG:الكاراتشاي-بالكار	ar-EH:الكاراتشاي-بالكار	ar-ER:الكاراتشاي-بالكار	ar-IL:الكاراتشاي-بالكار	ar-IQ:الكاراتشاي-بالكار	ar-JO:الكاراتشاي-بالكار	ar-KM:الكاراتشاي-بالكار	ar-KW:الكاراتشاي-بالكار	ar-LB:الكاراتشاي-بالكار	ar-LY:الكاراتشاي-بالكار	ar-MA:الكاراتشاي-بالكار	ar-MR:الكاراتشاي-بالكار
kri	ast:krio	br:krio	bs:krio	bs-Latn:krio	ca:krio	ca-AD:krio	ca-ES-valencia:krio	ca-FR:krio	ca-IT:krio	cs:krio	de:Krio	de-AT:Krio	de-BE:Krio	de-CH:Krio	de-IT:Krio	de-LI:Krio	de-LU:Krio	en:Krio	en-001:Krio	en-150:Krio
krj	ast:kinaray-a	cs:kinaraj-a	de:Kinaray-a	de-AT:Kinaray-a	de-BE:Kinaray-a	de-CH:Kinaray-a	de-IT:Kinaray-a	de-LI:Kinaray-a	de-LU:Kinaray-a	en:Kinaray-a	en-001:Kinaray-a	en-150:Kinaray-a	en-AE:Kinaray-a	en-AG:Kinaray-a	en-AI:Kinaray-a	en-AS:Kinaray-a	en-AT:Kinaray-a	en-AU:Kinaray-a	en-BB:Kinaray-a	en-BE:Kinaray-a
krl	af:Karelies	af-NA:Karelies	am:ካረሊያን	ar:الكاريلية	ar-AE:الكاريلية	ar-BH:الكاريلية	ar-DJ:الكاريلية	ar-DZ:الكاريلية	ar-EG:الكاريلية	ar-EH:الكاريلية	ar-ER:الكاريلية	ar-IL:الكاريلية	ar-IQ:الكاريلية	ar-JO:الكاريلية	ar-KM:الكاريلية	ar-KW:الكاريلية	ar-LB:الكاريلية	ar-LY:الكاريلية	ar-MA:الكاريلية	ar-MR:الكاريلية
kru	af:Kurukh	af-NA:Kurukh	am:ኩሩክ	ar:الكوروخ	ar-AE:الكوروخ	ar-BH:الكوروخ	ar-DJ:الكوروخ	ar-DZ:الكوروخ	ar-EG:الكوروخ	ar-EH:الكوروخ	ar-ER:الكوروخ	ar-IL:الكوروخ	ar-IQ:الكوروخ	ar-JO:الكوروخ	ar-KM:الكوروخ	ar-KW:الكوروخ	ar-LB:الكوروخ	ar-LY:الكوروخ	ar-MA:الكوروخ	ar-MR:الكوروخ
ks	af:Kasjmiri	af-NA:Kasjmiri	ak:Kahyimiɛ	am:ካሽሚርኛ	ar:الكشميرية	ar-AE:الكشميرية	ar-BH:الكشميرية	ar-DJ:الكشميرية	ar-DZ:الكشميرية	ar-EG:الكشميرية	ar-EH:الكشميرية	ar-ER:الكشميرية	ar-IL:الكشميرية	ar-IQ:الكشميرية	ar-JO:الكشميرية	ar-KM:الكشميرية	ar-KW:الكشميرية	ar-LB:الكشميرية	ar-LY:الكشميرية	ar-MA:الكشميرية
ksb	af:Shambala	af-NA:Shambala	am:ሻምባላ	ar:شامبالا	ar-AE:شامبالا	ar-BH:شامبالا	ar-DJ:شامبالا	ar-DZ:شامبالا	ar-EG:شامبالا	ar-EH:شامبالا	ar-ER:شامبالا	ar-IL:شامبالا	ar-IQ:شامبالا	ar-JO:شامبالا	ar-KM:شامبالا	ar-KW:شامبالا	ar-LB:شامبالا	ar-LY:شامبالا	ar-MA:شامبالا	ar-MR:شامبالا
ksf	af:Bafia	af-NA:Bafia	am:ባፊያ	ar:لغة البافيا	ar-AE:لغة البافيا	ar-BH:لغة البافيا	ar-DJ:لغة البافيا	ar-DZ:لغة البافيا	ar-EG:لغة البافيا	ar-EH:لغة البافيا	ar-ER:لغة البافيا	ar-IL:لغة البافيا	ar-IQ:لغة البافيا	ar-JO:لغة البافيا	ar-KM:لغة البافيا	ar-KW:لغة البافيا	ar-LB:لغة البافيا	ar-LY:لغة البافيا	ar-MA:لغة البافيا	ar-MR:لغة البافيا
ksh	af:Keuls	af-NA:Keuls	am:ኮሎኝኛ	ar:لغة الكولونيان	ar-AE:لغة الكولونيان	ar-BH:لغة الكولونيان	ar-DJ:لغة الكولونيان	ar-DZ:لغة الكولونيان	ar-EG:لغة الكولونيان	ar-EH:لغة الكولونيان	ar-ER:لغة الكولونيان	ar-IL:لغة الكولونيان	ar-IQ:لغة الكولونيان	ar-JO:لغة الكولونيان	ar-KM:لغة الكولونيان	ar-KW:لغة الكولونيان	ar-LB:لغة الكولونيان	ar-LY:لغة الكولونيان	ar-MA:لغة الكولونيان	ar-MR:لغة الكولونيان
ku	af:Koerdies	af-NA:Koerdies	ak:Kɛɛde kasa	am:ኩርድሽ	ar:الكردية	ar-AE:الكردية	ar-BH:الكردية	ar-DJ:الكردية	ar-DZ:الكردية	ar-EG:الكردية	ar-EH:الكردية	ar-ER:الكردية	ar-IL:الكردية	ar-IQ:الكردية	ar-JO:الكردية	ar-KM:الكردية	ar-KW:الكردية	ar-LB:الكردية	ar-LY:الكردية	ar-MA:الكردية
ku-menu-core	af:Koerdies	af-NA:Koerdies	am:ኩርድሽ	ar:الكردية	ar-AE:الكردية	ar-BH:الكردية	ar-DJ:الكردية	ar-DZ:الكردية	ar-EG:الكردية	ar-EH:الكردية	ar-ER:الكردية	ar-IL:الكردية	ar-IQ:الكردية	ar-JO:الكردية	ar-KM:الكردية	ar-KW:الكردية	ar-LB:الكردية	ar-LY:الكردية	ar-MA:الكردية	ar-MR:الكردية
ku-menu-extension	af:Koermandji	af-NA:Koermandji	am:ኩርድሽ	ar:الكرمانجية	ar-AE:الكرمانجية	ar-BH:الكرمانجية	ar-DJ:الكرمانجية	ar-DZ:الكرمانجية	ar-EG:الكرمانجية	ar-EH:الكرمانجية	ar-ER:الكرمانجية	ar-IL:الكرمانجية	ar-IQ:الكرمانجية	ar-JO:الكرمانجية	ar-KM:الكرمانجية	ar-KW:الكرمانجية	ar-LB:الكرمانجية	ar-LY:الكرمانجية	ar-MA:الكرمانجية	ar-MR:الكرمانجية
kum	af:Kumyk	af-NA:Kumyk	am:ኩማይክ	ar:القموقية	ar-AE:القموقية	ar-BH:القموقية	ar-DJ:القموقية	ar-DZ:القموقية	ar-EG:القموقية	ar-EH:القموقية	ar-ER:القموقية	ar-IL:القموقية	ar-IQ:القموقية	ar-JO:القموقية	ar-KM:القموقية	ar-KW:القموقية	ar-LB:القموقية	ar-LY:القموقية	ar-MA:القموقية	ar-MR:القموقية
kut	ar:الكتيناي	ar-AE:الكتيناي	ar-BH:الكتيناي	ar-DJ:الكتيناي	ar-DZ:الكتيناي	ar-EG:الكتيناي	ar-EH:الكتيناي	ar-ER:الكتيناي	ar-IL:الكتيناي	ar-IQ:الكتيناي	ar-JO:الكتيناي	ar-KM:الكتيناي	ar-KW:الكتيناي	ar-LB:الكتيناي	ar-LY:الكتيناي	ar-MA:الكتيناي	ar-MR:الكتيناي	ar-OM:الكتيناي	ar-PS:الكتيناي	ar-QA:الكتيناي
kv	af:Komi	af-NA:Komi	am:ኮሚ	ar:الكومي	ar-AE:الكومي	ar-BH:الكومي	ar-DJ:الكومي	ar-DZ:الكومي	ar-EG:الكومي	ar-EH:الكومي	ar-ER:الكومي	ar-IL:الكومي	ar-IQ:الكومي	ar-JO:الكومي	ar-KM:الكومي	ar-KW:الكومي	ar-LB:الكومي	ar-LY:الكومي	ar-MA:الكومي	ar-MR:الكومي
kw	af:Kornies	af-NA:Kornies	am:ኮርኒሽ	ar:الكورنية	ar-AE:الكورنية	ar-BH:الكورنية	ar-DJ:الكورنية	ar-DZ:الكورنية	ar-EG:الكورنية	ar-EH:الكورنية	ar-ER:الكورنية	ar-IL:الكورنية	ar-IQ:الكورنية	ar-JO:الكورنية	ar-KM:الكورنية	ar-KW:الكورنية	ar-LB:الكورنية	ar-LY:الكورنية	ar-MA:الكورنية	ar-MR:الكورنية
kwk	af:Kwak’wala	af-NA:Kwak’wala	am:ክዋክዋላ	ar:الكواكوالا	ar-AE:الكواكوالا	ar-BH:الكواكوالا	ar-DJ:الكواكوالا	ar-DZ:الكواكوالا	ar-EG:الكواكوالا	ar-EH:الكواكوالا	ar-ER:الكواكوالا	ar-IL:الكواكوالا	ar-IQ:الكواكوالا	ar-JO:الكواكوالا	ar-KM:الكواكوالا	ar-KW:الكواكوالا	ar-LB:الكواكوالا	ar-LY:الكواكوالا	ar-MA:الكواكوالا	ar-MR:الكواكوالا
kxv	af:Kuvi	af-NA:Kuvi	ak:Kuvi kasa	am:ኩቪኛ	ar:الكوفية	ar-AE:الكوفية	ar-BH:الكوفية	ar-DJ:الكوفية	ar-DZ:الكوفية	ar-EG:الكوفية	ar-EH:الكوفية	ar-ER:الكوفية	ar-IL:الكوفية	ar-IQ:الكوفية	ar-JO:الكوفية	ar-KM:الكوفية	ar-KW:الكوفية	ar-LB:الكوفية	ar-LY:الكوفية	ar-MA:الكوفية
ky	af:Kirgisies	af-NA:Kirgisies	ak:Kɛgyese kasa	am:ክይርግይዝ	ar:القيرغيزية	ar-AE:القيرغيزية	ar-BH:القيرغيزية	ar-DJ:القيرغيزية	ar-DZ:القيرغيزية	ar-EG:القيرغيزية	ar-EH:القيرغيزية	ar-ER:القيرغيزية	ar-IL:القيرغيزية	ar-IQ:القيرغيزية	ar-JO:القيرغيزية	ar-KM:القيرغيزية	ar-KW:القيرغيزية	ar-LB:القيرغيزية	ar-LY:القيرغيزية	ar-MA:القيرغيزية
la	af:Latyn	af-NA:Latyn	am:ላቲንኛ	ar:اللاتينية	ar-AE:اللاتينية	ar-BH:اللاتينية	ar-DJ:اللاتينية	ar-DZ:اللاتينية	ar-EG:اللاتينية	ar-EH:اللاتينية	ar-ER:اللاتينية	ar-IL:اللاتينية	ar-IQ:اللاتينية	ar-JO:اللاتينية	ar-KM:اللاتينية	ar-KW:اللاتينية	ar-LB:اللاتينية	ar-LY:اللاتينية	ar-MA:اللاتينية	ar-MR:اللاتينية
lad	af:Ladino	af-NA:Ladino	am:ላዲኖ	ar:اللادينو	ar-AE:اللادينو	ar-BH:اللادينو	ar-DJ:اللادينو	ar-DZ:اللادينو	ar-EG:اللادينو	ar-EH:اللادينو	ar-ER:اللادينو	ar-IL:اللادينو	ar-IQ:اللادينو	ar-JO:اللادينو	ar-KM:اللادينو	ar-KW:اللادينو	ar-LB:اللادينو	ar-LY:اللادينو	ar-MA:اللادينو	ar-MR:اللادينو
lag	af:Langi	af-NA:Langi	am:ላንጊ	ar:لانجي	ar-AE:لانجي	ar-BH:لانجي	ar-DJ:لانجي	ar-DZ:لانجي	ar-EG:لانجي	ar-EH:لانجي	ar-ER:لانجي	ar-IL:لانجي	ar-IQ:لانجي	ar-JO:لانجي	ar-KM:لانجي	ar-KW:لانجي	ar-LB:لانجي	ar-LY:لانجي	ar-MA:لانجي	ar-MR:لانجي
lah	ar:اللاهندا	ar-AE:اللاهندا	ar-BH:اللاهندا	ar-DJ:اللاهندا	ar-DZ:اللاهندا	ar-EG:اللاهندا	ar-EH:اللاهندا	ar-ER:اللاهندا	ar-IL:اللاهندا	ar-IQ:اللاهندا	ar-JO:اللاهندا	ar-KM:اللاهندا	ar-KW:اللاهندا	ar-LB:اللاهندا	ar-LY:اللاهندا	ar-MA:اللاهندا	ar-MR:اللاهندا	ar-OM:اللاهندا	ar-PS:اللاهندا	ar-QA:اللاهندا
lam	ar:اللامبا	ar-AE:اللامبا	ar-BH:اللامبا	ar-DJ:اللامبا	ar-DZ:اللامبا	ar-EG:اللامبا	ar-EH:اللامبا	ar-ER:اللامبا	ar-IL:اللامبا	ar-IQ:اللامبا	ar-JO:اللامبا	ar-KM:اللامبا	ar-KW:اللامبا	ar-LB:اللامبا	ar-LY:اللامبا	ar-MA:اللامبا	ar-MR:اللامبا	ar-OM:اللامبا	ar-PS:اللامبا	ar-QA:اللامبا
laz	lzz:Lazuri
lb	af:Luxemburgs	af-NA:Luxemburgs	ak:Lɔsimbɔge kasa	am:ሉክሰምበርግኛ	ar:اللكسمبورغية	ar-AE:اللكسمبورغية	ar-BH:اللكسمبورغية	ar-DJ:اللكسمبورغية	ar-DZ:اللكسمبورغية	ar-EG:اللكسمبورغية	ar-EH:اللكسمبورغية	ar-ER:اللكسمبورغية	ar-IL:اللكسمبورغية	ar-IQ:اللكسمبورغية	ar-JO:اللكسمبورغية	ar-KM:اللكسمبورغية	ar-KW:اللكسمبورغية	ar-LB:اللكسمبورغية	ar-LY:اللكسمبورغية	ar-MA:اللكسمبورغية
lez	af:Lezghies	af-NA:Lezghies	am:ሌዝጊያን	ar:الليزجية	ar-AE:الليزجية	ar-BH:الليزجية	ar-DJ:الليزجية	ar-DZ:الليزجية	ar-EG:الليزجية	ar-EH:الليزجية	ar-ER:الليزجية	ar-IL:الليزجية	ar-IQ:الليزجية	ar-JO:الليزجية	ar-KM:الليزجية	ar-KW:الليزجية	ar-LB:الليزجية	ar-LY:الليزجية	ar-MA:الليزجية	ar-MR:الليزجية
